ell,Dl_TT_muK2,Dl_EE_muK2,Dl_TE_muK2,Cl_TT,Cl_EE,Cl_TE,Cl_BB
1476,148.84857103641897,1.6072352374797825,-4.547360531055288,1.5740245397452747e-16,1.6995982476160457e-18,-4.808683763043217e-18,0.0
1477,148.48861281744865,1.6034601150180667,-4.53652163356724,1.5680933126284497e-16,1.6933117198134499e-18,-4.7907304817620066e-18,0.0
1478,148.1306706607507,1.5997060843005635,-4.525743363723005,1.5621979481277616e-16,1.6870628826255602e-18,-4.772885294466054e-18,0.0
1479,147.77474565580184,1.595973162902682,-4.5150257630879,1.5563383285863633e-16,1.6808516189945693e-18,-4.75514785592372e-18,0.0
1480,147.42083880612984,1.5922613674602901,-4.504368870584503,1.5505143358826455e-16,1.6746778113004669e-18,-4.737517819396907e-18,0.0
1481,147.068951029912,1.5885707136758886,-4.49377272251054,1.5447258514407297e-16,1.6685413413723886e-18,-4.719994836673158e-18,0.0
1482,146.71908316057426,1.584901216324806,-4.4832373525568014,1.538972756240892e-16,1.6624420904998943e-18,-4.7025785580975384e-18,0.0
1483,146.37123594739143,1.581252889261399,-4.472762791825085,1.5332549308299184e-16,1.6563799394441766e-18,-4.685268632604329e-18,0.0
1484,146.0254100560883,1.5776257454252691,-4.462349068846175,1.5275722553313912e-16,1.6503547684491963e-18,-4.668064707748498e-18,0.0
1485,145.68160606944036,1.5740197968474843,-4.451996209597829,1.5219246094558976e-16,1.6443664572527466e-18,-4.65096642973696e-18,0.0
1486,145.33982448787623,1.570435054656813,-4.441704237522799,1.516311872511175e-16,1.6384148850974426e-18,-4.633973443459628e-18,0.0
1487,145.00006573007937,1.566871529085965,-4.431473173546855,1.5107339234121767e-16,1.6324999307416386e-18,-4.6170853925202455e-18,0.0
1488,144.66233013359033,1.5633292294778294,-4.421303036096812,1.5051906406910627e-16,1.6266214724702628e-18,-4.600301919266987e-18,0.0
1489,144.32661795540912,1.559808164291731,-4.411193841118593,1.4996819025071233e-16,1.6207793881055857e-18,-4.583622664822863e-18,0.0
1490,143.99292937259767,1.5563083411096796,-4.401145602095268,1.494207586656621e-16,1.6149735550179064e-18,-4.567047269115875e-18,0.0
1491,143.66126448288188,1.5528297666426263,-4.391158330065106,1.488767570582562e-16,1.6092038501361619e-18,-4.550575370908963e-18,0.0
1492,143.3316233052536,1.5493724467367191,-4.381232033639632,1.4833617313843872e-16,1.6034701499584593e-18,-4.534206607829729e-18,0.0
1493,143.00400578057224,1.5459363863795579,-4.371366719021657,1.4779899458275886e-16,1.5977723305625276e-18,-4.517940616399906e-18,0.0
1494,142.67841177216582,1.542521589706449,-4.361562390023324,1.4726520903532478e-16,1.5921102676160906e-18,-4.501777032064628e-18,0.0
1495,142.35484106643153,1.539128060006657,-4.351819048084116,1.4673480410874975e-16,1.5864838363871607e-18,-4.485715489221442e-18,0.0
