k_Mpc_inv,Pk_z0,Pk_z05,Pk_z1
0.4961947603002903,1.6057885856709597e-05,9.795310372592854e-06,5.941417766982551e-06
0.5156732244854969,1.493352873570219e-05,9.109452528778336e-06,5.52540563220981e-06
0.5359163290848514,1.386989319530891e-05,8.460634849138435e-06,5.131860482264297e-06
0.5569540905800135,1.2866140357357213e-05,7.8483456179879e-06,4.760471932222169e-06
0.5788177037701274,1.1921055040659245e-05,7.27184357480214e-06,4.410790365043921e-06
0.6015395880274839,1.1033109510960026e-05,6.730196801685616e-06,4.082250519055209e-06
0.6251534353689712,1.0200522451348764e-05,6.222318695322745e-06,3.7741933069990426e-06
0.6496942604146124,9.421312782217466e-06,5.747000797152654e-06,3.4858857294204627e-06
0.6751984523072502,8.693348159683586e-06,5.302942377406988e-06,3.216538819082927e-06
0.701703828670383,8.014388144674416e-06,4.8887767682513936e-06,2.965323613529534e-06
0.7292496916841444,7.382122163990799e-06,4.503094520034388e-06,2.7313852006765954e-06
0.757876886362593,6.794202482876874e-06,4.144463514554893e-06,2.5138549186644435e-06
0.7876278611187055,6.248272479657554e-06,3.811446212591108e-06,2.311860817473295e-06
0.8185467307069029,5.741990560767611e-06,3.5026142420682424e-06,2.124536507484016e-06
0.8506793416364153,5.2730500828356585e-06,3.2165605505297514e-06,1.9510285306491936e-06
0.8840733401525063,4.839195661030129e-06,2.9519093532283787e-06,1.7905023945811479e-06
0.918778242886333,4.438236242934423e-06,2.707324108189998e-06,1.6421474098857365e-06
0.9548455102782294,4.06805531772324e-06,2.481513743811176e-06,1.5051804675575986e-06
0.9923286228832545,3.726618613895916e-06,2.273237354476509e-06,1.378848887141489e-06
1.0312831606721848,3.411979617418332e-06,2.0813075666251823e-06,1.262432458444783e-06
1.0717668854455034,3.122283217595501e-06,1.9045927627332556e-06,1.1552447905103355e-06
1.1138398264826206,2.8557677617583373e-06,1.7420183346725857e-06,1.0566340718505848e-06
1.1575643695533036,2.6107657730167055e-06,1.5925671215401902e-06,9.65983336016181e-07
1.2030053494233242,2.385703558755689e-06,1.4552791708409704e-06,8.82710316739605e-07
1.250230145991456,2.179099911862271e-06,1.3292509462359851e-06,8.062669673890403e-07
1.2993087842004172,1.9895640823065255e-06,1.2136340902069805e-06,7.361387104534145e-07
1.3503140378698721,1.8157931739579917e-06,1.107633836114375e-06,6.718434743644569e-07
1.4033215376054846,1.6565691005646746e-06,1.0105071513444516e-06,6.129305672089296e-07
1.4584098829439864,1.5107552157383741e-06,9.215606816004082e-07,5.589794298231984e-07
1.5156607589006044,1.3772927145818815e-06,8.401485558949478e-07,5.095983043952961e-07
1.5751590570916212,1.2551968892171853e-06,7.65670102422483e-07,4.6442284901035856e-07
1.6369930016117018,1.1435533068458776e-06,6.975675171759853e-07,4.231147235329747e-07
1.7012542798525891,1.041513966987799e-06,6.353235198625573e-07,3.853601677854856e-07
1.7680381784572086,9.482934840788636e-07,5.784590252881068e-07,3.508685891091795e-07
1.837443724610725,8.631653325357169e-07,5.265308528467873e-07,3.193711730382152e-07
1.9095738328780967,7.854581835813287e-07,4.791294919846105e-07,2.906195279250916e-07
1.9845354578058032,7.145523564435342e-07,4.358769374305558e-07,2.6438437188410765e-07
2.0624397525140927,6.498764008635706e-07,3.9642460452677807e-07,2.4045426831952114e-07
2.1434022335148546,5.90903823067723e-07,3.60451332071311e-07,2.186344145350575e-07
2.227542951999556,5.371499633532558e-07,3.2766147764548603e-07,1.9874548644070464e-07
2.314986671851161,4.881690301209563e-07,2.9778310837378337e-07,1.8062254114475385e-07
2.4058630546440667,4.435512924599902e-07,2.70566288400594e-07,1.6411397821019637e-07
2.5003068519063265,4.0292043117555873e-07,2.4578146301709083e-07,1.4908055953495673e-07
2.598458104929247,3.659310463729368e-07,2.2321793828749142e-07,1.353944871579866e-07
2.700462352420682,3.3226631830868547e-07,2.0268245416829813e-07,1.2293853777421363e-07
2.8064708463098387,3.0163581713432403e-07,1.8399784845193767e-07,1.1160525233969989e-07
2.9166407760237067,2.7377345633955337e-07,1.6700180836712755e-07,1.0129617884563474e-07
3.0311355015675763,2.4843558410810347e-07,1.515457063059431e-07,9.192116611999828e-08
3.1501247957553278,2.253992063914898e-07,1.3749351589880878e-07,8.339770636485123e-08
3.2737850959485773,2.0446033525212173e-07,1.2472080450379426e-07,7.565032404328504e-08
3.4022997656780714,1.8543245589919773e-07,1.1311379809851062e-07,6.861000868270316e-08
3.535859366535176,1.6814510581492355e-07,1.0256851454710337e-07,6.221368915152171e-08
3.674661940736688,1.5244255942432272e-07,9.298996124883686e-08,5.64037469869994e-08
