ell,Cl_BB,Dl_BB,Cl_TT_tensor
264,6.916591121629686e-27,7.701264425804757e-23,4.130745617763183e-27
265,6.856000936220673e-27,7.691632227398544e-23,4.092854069000385e-27
266,6.796134392457006e-27,7.682012120023657e-23,4.055425188368529e-27
267,6.736980356255316e-27,7.672404088120058e-23,4.018451775860012e-27
268,6.678527904225784e-27,7.662808116152285e-23,3.9819267686152676e-27
269,6.620766318934543e-27,7.653224188609335e-23,3.94584323782576e-27
270,6.5636850842895e-27,7.643652290004563e-23,3.910194385717888e-27
271,6.507273881045903e-27,7.634092404875586e-23,3.874973542615393e-27
272,6.451522582428108e-27,7.62454451778417e-23,3.8401741640779555e-27
273,6.396421249864161e-27,7.61500861331613e-23,3.805789828113738e-27
274,6.341960128829871e-27,7.605484676081229e-23,3.7718142324636876e-27
275,6.288129644799193e-27,7.59597269071309e-23,3.738241191955536e-27
276,6.234920399297828e-27,7.586472641869088e-23,3.705064635925431e-27
277,6.182323166057035e-27,7.576984514230256e-23,3.672278605705248e-27
278,6.1303288872647956e-27,7.567508292501198e-23,3.639877252173697e-27
279,6.078928669911495e-27,7.558043961409982e-23,3.6078548333693625e-27
280,6.028113782227449e-27,7.548591505708069e-23,3.576205712163918e-27
281,5.977875650209611e-27,7.539150910170198e-23,3.544924353993773e-27
282,5.928205854234965e-27,7.529722159594318e-23,3.51400532464851e-27
283,5.8790961257581165e-27,7.520305238801481e-23,3.483443288114475e-27
284,5.830538344090721e-27,7.510900132635773e-23,3.453233004471975e-27
285,5.782524533260428e-27,7.501506825964219e-23,3.423369327844559e-27
286,5.735046858947123e-27,7.49212530367669e-23,3.3938472043989314e-27
287,5.688097625494309e-27,7.48275555068584e-23,3.36466167039406e-27
288,5.6416692729935146e-27,7.473397551927002e-23,3.335807850278118e-27
289,5.5957543744397255e-27,7.464051292358119e-23,3.307280954831932e-27
290,5.550345632955848e-27,7.454716756959662e-23,3.279076279357627e-27
291,5.505435879084327e-27,7.445393930734543e-23,3.25118920191124e-27
292,5.461018068144055e-27,7.43608279870805e-23,3.2236151815780765e-27
293,5.4170852776507746e-27,7.426783345927752e-23,3.1963497567896457e-27
294,5.373630704799278e-27,7.41749555746344e-23,3.1693885436810236e-27
295,5.33064766400568e-27,7.408219418407038e-23,3.1427272344875605e-27
